AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid
GRE-01891,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,REORDER,,,,MANUFACTURED,,,,,MSP22K71,,,,,,,,,,,,,,3147,,,,,,,,,,COLORADO HOODIE,,,,,,001 - SHEPHERD,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 DROPPED 9.12.22,3147MSP22K71001 - SHEPHERD0,,,,,0,0,,,,,,,,0,,0,0,,0,0,0,,,,,,,,,,0,,,,,,,,,,85B48C3A-8C38-4B30-9836-C759C68CFC4D
GRE-01892,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,REORDER,,,,MANUFACTURED,,,,,MSP22K71,,,,,,,,,,,,,,3147,,,,,,,,,,COLORADO HOODIE,,,,,,030 - STINGRAY,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 DROPPED 9.12.22,3147MSP22K71030 - STINGRAY0,,,,,0,0,,,,,,,,0,,0,0,,0,0,0,,,,,,,,,,0,,,,,,,,,,9BDC7655-96E4-4FC5-9DC4-907EDE641531
GRE-01893,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,REORDER,,,,MANUFACTURED,,,,,MSP22K71,,,,,,,,,,,,,,3147,,,,,,,,,,COLORADO HOODIE,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 DROPPED 9.12.22,3147MSP22K71417 - MALTESE BLUE0,,,,,0,0,,,,,,,,0,,0,0,,0,0,0,,,,,,,,,,0,,,,,,,,,,4425B28E-41F7-4062-9278-6544FD4CE12D
GRE-01894,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,REORDER,,,,MANUFACTURED,,,,,MFA22K71,,,,,,,,,,,,,,3147,,,,,,,,,,COLORADO HOODIE,,,,,,100 - ARCTIC,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,2/06/2023 0:00,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 DROPPED 9.12.22,3147MFA22K71100 - ARCTIC0,,,,,0,0,,,,,,,,0,,0,0,,0.075,0,0,,,,,,,,,,0,,,,,,,,,,1F1ED704-9D0A-4B9B-BB1B-F276F4164585
GRE-01895,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,REORDER,,,,MANUFACTURED,,,,,MSP23K56,,,,,,,,,,,,,,3147,,,,,,,,,,SEQUOIA 1/4 ZIP,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,2/06/2023 0:00,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 DROPPED 9.12.22,3147MSP23K56417 - MALTESE BLUE0,,,,,0,0,,,,,,,,0,,0,0,,0,0,0,,,,,,,,,,0,,,,,,,,,,17EC0AEE-4A33-448E-A7BC-BA75B8FD5F6F
GRE-01896,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,REORDER,,,,MANUFACTURED,,,,,MFA22K56,,,,,,,,,,,,,,3147,,,,,,,,,,SEQUOIA 1/4 ZIP,,,,,,051 - SMOKE HEATHER,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,16/06/2023 0:00,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 DROPPED 9.12.22,3147MFA22K56051 - SMOKE HEATHER0,,,,,0,0,,,,,,,,0,,0,0,,0,0,0,,,,,,,,,,0,,,,,,,,,,D125FD34-1112-4F18-873E-352A2B4CE661
GRE-01897,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,REORDER,,,,MANUFACTURED,,,,,MFA22K56,,,,,,,,,,,,,,3147,,,,,,,,,,SEQUOIA 1/4 ZIP,,,,,,001 - SHEPHERD,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 DROPPED 4.1.23,3147MFA22K56001 - SHEPHERD0,,,,,0,0,,,,,,,,0,,0,0,,0,0,0,,,,,,,,,,0,,,,,,,,,,881BE8B1-19F7-4D49-A892-ED190D5C1A9D
GRE-01898,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,REORDER,,,,MANUFACTURED,,,,,MSP23K56,,,,,,,,,,,,,,3147,,,,,,,,,,SEQUOIA 1/4 ZIP,,,,,,100 - ARCTIC,PCE,,,,,35,,128,,177,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,16/06/2023 0:00,DDP,SEA,,ADDED 8.12.22 UPDATED COLOR NAME 10.1.23 UPDATED SHIPMODE 15.5.23,3147MSP23K56100 - ARCTIC500,,,,,32.28,43.04,0.2,,0.61,0.1,,,,43.95,6110.30.30.10,0.32,10.33,,0.075,2.42,56.7,,,,,,,,,,113.4,Y,PRICES CONFIRMED 22.5.23,,,,,,,,75BA50A9-7D01-47B5-8634-813EC3167AB7
GRE-01899,GREYSON CLOTHIERS,27/09/2022,,,2023 FALL,,,PRE FALL,,,,MANUFACTURED,,,,,MSP23B20,,,,,,,,,,,,,,3042,,,,,,,,,,MONTAUK SHORT,,,,,,461 - HERON,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,,,15,,,,,,,,7,,,,,,15,,,,,,,6,,,,,,17,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,ACTIVE,"WHIPLASH, OH",,,,,,,,14/04/2023 0:00,DDP,AIR,,ADDED 27.9.22 UPDATED SEASON 10.1.23 UPDATED QTY AND SHIPMODE 6.3.23,3042MSP23B20461 - HERON78,,,,28.05,16.06,21.41,0.2,,0.61,0.1,,,,22.32,6103.43.15.50,0.282,4.53,,0.075,1.2,28.05,,,,,,,,,,56.1,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 12.4.23,,,,,,,,3D17C852-D442-4EAA-86AD-CC80414EF51E
GRE-01900,GREYSON CLOTHIERS,27/09/2022,,,2023 FALL,,,PRE FALL,,,,MANUFACTURED,,,,,MSP23B20,,,,,,,,,,,,,,3042,,,,,,,,,,MONTAUK SHORT,,,,,,461 - HERON,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,,,,,,,26,,,,,,,,23,,,,,,28,,,,,,,3,,,,,,22,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,ACTIVE,"WHIPLASH, OH",,,,,,,,14/04/2023 0:00,DDP,SEA,,ADDED 6.3.23,3042MSP23B20461 - HERON122,,,,28.05,16.06,21.41,0.2,,0.61,0.1,,,,22.32,6103.43.15.50,0.282,4.53,,0.075,1.2,28.05,,,,,,,,,,56.1,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 12.4.23,,,,,,,,62658B17-57D2-4A83-8E09-BC43A64066BE
GRE-01901,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23K89A,,,,,,,,,,,,,,3160,,,,,,,,,,OSPREY GRATIOT 1/4 ZIP,,,,,,391 - IONA,PCE,,,,,91,,319,,363,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 UPDATED SEASON 10.1.23 DROPPED 26.1.23,3160MFA23K89A391 - IONA0,,,,,0,0,,,,,,,,0,,0,0,,0,0,0,,,,,,,,,,0,,,,,,,,,,1C144389-5A30-417A-B783-44AC02659B17
GRE-01902,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23K89,,,,,,,,,,,,,,3160,,,,,,,,,,GRATIOT 1/4 ZIP,,,,,,822 - ORCHARD,PCE,,,,,79,,282,,322,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,,DDP,AIR/SEA SPLIT,,ADDED 8.12.22 UPDATED SEASON 10.1.23 DROPPED 26.1.23,3160MFA23K89822 - ORCHARD0,,,,,0,0,,,,,,,,0,,0,0,,0,0,0,,,,,,,,,,0,,,,,,,,,,6D9465A5-CD93-48AE-9AC7-63EC2996B4A8
GRE-01903,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23K86A,,,,,,,,,,,,,,3160,,,,,,,,,,FIGHT OR FLIGHT CHENE SHAWL CARDIGAN,,,,,,390 - CANAL,PCE,,,,,18,,66,,76,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,9/06/2023 0:00,DDP,SEA,,ADDED 8.12.22 UPDATED SEASON 10.1.23 UPDATED QTY 4.4.23 UPDATED SHIPMODE 15.5.23,3160MFA23K86A390 - CANAL213,,,,,39.89,53.19,0.2,,0.61,0.1,,,,54.1,6110.30.30.53,0.32,12.76,,0.075,2.99,69.85,,,,,,,,,,139.7,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,8526D61F-052A-44E7-AE84-427AC9665DEA
GRE-01904,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23O40,,,,,,,,,,,,,,3160,,,,,,,,,,YUKON X LITE VEST,,,,,,034 - IONA/MALTESE BLUE,PCE,,,,,63,,218,,261,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,SEA,,ADDED 8.12.22 UPDATED COLOR 3.1.23 UPDATED COLOR 10.1.23 UPDATED SHIPMODE 15.5.23,3160MFA23O40034 - IONA/MALTESE BLUE750,,,,,32.08,42.77,0.2,,0.61,0.1,,,,43.68,6201.40.35.20,0.149,4.78,,0.075,2.41,50.87,,,,,,,,,,101.74,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,2D915E41-498B-4573-AB2F-CDE3A35763A7
GRE-01905,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23O52,,,,,,,,,,,,,,3160,,,,,,,,,,YUKON HYBRID JACKET,,,,,,034 - IONA/MALTESE BLUE,PCE,,,,,35,,81,,82,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,14/07/2023 0:00,DDP,AIR,,ADDED 8.12.22 UPDATED SEASON 10.1.23 UPDATED QTY AND SHIPMODE 31.5.23,3160MFA23O52034 - IONA/MALTESE BLUE258,,,,,40.67,54.22,0.2,,0.61,0.1,,,,55.13,6201.40.75.11,0.277,11.27,,0.075,3.05,69.45,,,,,,,,,,138.9,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 20.6.23,,,,,,,,B8BBCFBB-1701-4940-B6E0-1BE013C1848E
GRE-01906,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23O52,,,,,,,,,,,,,,3160,,,,,,,,,,YUKON HYBRID JACKET,,,,,,034 - IONA/MALTESE BLUE,PCE,,,,,13,,69,,94,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,14/07/2023 0:00,DDP,SEA,,ADDED 31.5.23,3160MFA23O52034 - IONA/MALTESE BLUE257,,,,,40.67,54.22,0.2,,0.61,0.1,,,,55.13,6201.40.75.11,0.277,11.27,,0.075,3.05,69.45,,,,,,,,,,138.9,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 20.6.23,,,,,,,,7E025D06-33FA-4075-9F72-7D3374595704
GRE-01907,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23O68,,,,,,,,,,,,,,3160,,,,,,,,,,TRAILWOLF JACKET,,,,,,391 - IONA,PCE,,,,,20,,60,,69,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,9/06/2023 0:00,DDP,SEA,,ADDED 8.12.22 UPDATED SEASON 10.1.23 UPDATED SHIPMODE 15.5.23,3160MFA23O68391 - IONA200,,,,,24.19,32.25,0.2,,0.61,0.1,,,,33.16,6211.33.90.58,0.16,3.87,,0.075,1.81,38.84,,,,,,,,,,77.68,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,EDFB1449-39F9-4595-AB03-976D468E589C
GRE-01908,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23O56,,,,,,,,,,,,,,3160,,,,,,,,,,SEQUOIA VEST,,,,,,051 - SMOKE HEATHER,PCE,,,,,14,,68,,74,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,AIR,,ADDED 8.12.22 UPDATED SEASON 10.1.23 UPDATED SHIPMODE 15.5.23,3160MFA23O56051 - SMOKE HEATHER211,,,,,27.31,36.41,0.2,,0.61,0.1,,,,37.32,6110.30.30.10,0.32,8.74,,0.075,2.05,48.11,,,,,,,,,,96.22,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,AB16B2B6-C356-442A-BC3C-8480E1DFF334
GRE-01909,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23O56,,,,,,,,,,,,,,3160,,,,,,,,,,SEQUOIA VEST,,,,,,051 - SMOKE HEATHER,PCE,,,,,72,,241,,267,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,SEA,,ADDED 15.5.23,3160MFA23O56051 - SMOKE HEATHER789,,,,,27.31,36.41,0.2,,0.61,0.1,,,,37.32,6110.30.30.10,0.32,8.74,,0.075,2.05,48.11,,,,,,,,,,96.22,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,659647BB-9083-4A84-9795-1BBA42307A01
GRE-01910,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23O56,,,,,,,,,,,,,,3160,,,,,,,,,,SEQUOIA VEST,,,,,,391 - IONA,PCE,,,,,79,,266,,319,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,SEA,,ADDED 8.12.22 UPDATED SEASON 10.1.23 UPDATED SHIPMODE 15.5.23,3160MFA23O56391 - IONA915,,,,,29.43,39.24,0.2,,0.61,0.1,,,,40.15,6110.30.30.10,0.32,9.42,,0.075,2.21,51.78,,,,,,,,,,103.56,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,02897536-B3E0-4CAD-9F12-748212B390F9
GRE-01911,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23O53,,,,,,,,,,,,,,3160,,,,,,,,,,SEQUOIA FULL ZIP,,,,,,391 - IONA,PCE,,,,,41,,125,,146,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,SEA,,ADDED 8.12.22 UPDATED SEASON 10.1.23 UPDATED SHIPMODE 15.5.23,3160MFA23O53391 - IONA425,,,,,35.6,47.47,0.2,,0.61,0.1,,,,48.38,6110.30.30.10,0.32,11.39,,0.075,2.67,62.44,,,,,,,,,,124.88,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,D78D4AF3-0A72-4C5A-9164-29C1602040FC
GRE-01912,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23K56,,,,,,,,,,,,,,3160,,,,,,,,,,SEQUOIA 1/4 ZIP,,,,,,391 - IONA,PCE,,,,,107,,318,,379,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,SEA,,ADDED 8.12.22 UPDATED SEASON 10.1.23 UPDATED SHIPMODE 15.5.23,3160MFA23K56391 - IONA1100,,,,,32.28,43.04,0.2,,0.61,0.1,,,,43.95,6110.30.30.10,0.32,10.33,,0.075,2.42,56.7,,,,,,,,,,113.4,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,120ACFB0-4C74-48FE-9F0B-3D30F10EA0E7
GRE-01913,GREYSON CLOTHIERS,7/12/2022,,,2023 FALL,DROP 02,,,,,,MANUFACTURED,,,,,MFA23K74,,,,,,,,,,,,,,3160,,,,,,,,,,COKATO HOODIE,,,,,,391 - IONA,PCE,,,,,33,,101,,110,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2023 0:00,30/06/2023 0:00,DDP,AIR,,ADDED 8.12.22 UPDATED SEASON 10.1.23 UPDATED QTY AND SHIPMODE 15.5.23,3160MFA23K74391 - IONA329,,,,,32.04,42.72,0.2,,0.61,0.1,,,,43.63,6110.30.30.41,0.32,10.25,,0.075,2.4,56.28,,,,,,,,,,112.56,Y,SN UPDATE PRICE 22.2.23 PRICES CONFIRMED 22.5.23,,,,,,,,86F2FC1D-020B-4779-9616-98284173E81F
