AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid
GRE-00012,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO50,,,,,,,,,,,,,,2492,,,,,,,,,,YUKON HYBRID JACKET,,,,,,030 - STINGRAY,PCE,,,,,13,,,,173,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,ACTIVE,USA-MSL,,,,,,,,1/01/2022 0:00,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCO50030 - STINGRAY314,,,,,39.65,52.86,0.1,,0.33,0.1,,,,53.39,,0,0,,0.075,2.97,56.36,,,,,,,,,,112.72,,,,,,,,,,FA9428CD-75C9-468E-94B0-851130C3A3AA
GRE-00013,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,001 - SHEPHERD,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,100,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01001 - SHEPHERD244,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,13CCBB83-A1BE-4646-8DF9-BF725DB6F592
GRE-00014,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,001 - SHEPHERD,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,124,,116,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,14,,,,,,,,,116,,,,,73,,,,,,,,157,,,,,26,,,,,,,,111,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01001 - SHEPHERD1054,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,9F884D08-001F-4B87-8F9D-C0A1F3011091
GRE-00015,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,030 - STINGRAY,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,100,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01030 - STINGRAY171,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,19E204C2-BAC6-4826-AA7B-6F8F707871B4
GRE-00016,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,030 - STINGRAY,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,136,,41,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,6,,,,,,,,,54,,,,,46,,,,,,,,79,,,,,11,,,,,,,,36,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01030 - STINGRAY579,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,F879005D-C77D-48B9-BB85-673C0D3EA81E
GRE-00017,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,055 - SLATE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01055 - SLATE100,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,09C8FFA0-8D64-4FFC-A01A-F758F25800D3
GRE-00018,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,055 - SLATE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,121,,5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,10,,,,,,,,,75,,,,,50,,,,,,,,116,,,,,15,,,,,,,,81,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01055 - SLATE671,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,E183CBD1-89CD-48D0-B259-48E6BD5598B2
GRE-00019,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,060 - EEL,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01060 - EEL200,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,11A8AAA9-2B0A-408B-843E-D9DFBDE415EA
GRE-00020,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,060 - EEL,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,57,,283,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,11,,,,,,,,,45,,,,,52,,,,,,,,83,,,,,16,,,,,,,,41,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01060 - EEL751,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,ACA08A3C-4A8F-424D-AE54-9CAC2FE37809
GRE-00021,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,100 - ARCTIC,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,17,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,37,,,,,,,,,,,,,38,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 qty updated 23.2.22",2574MCLSCB01100 - ARCTIC195,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,E371F560-93A0-44AA-8212-E89FC3F4958E
