AAG ORDER NUMBER,PLANNED DELIVERY METHOD,CUSTOMER STYLE,PO NUMBER,ORDER TYPE,ALIAS/RELATED ITEM,CUSTOMER ALT PO,RESOLVED_BY
ALW-00107,FAST BOAT,ALWM062212,241210A,ACTIVE,#N/A,,ORDER TYPE
ALW-00107,FAST BOAT,ALWM062212,241210A,CANCELLED,#N/A,,ORDER TYPE
