AAG ORDER NUMBER,PLANNED DELIVERY METHOD,CUSTOMER STYLE,PO NUMBER,ORDER TYPE,ALIAS/RELATED ITEM,CUSTOMER ALT PO,RESOLVED_BY
FEE-00047,AIR,AAM3,PO001978,ACTIVE,AAM37952,,ALIAS/RELATED ITEM
FEE-00047,AIR,AAM3,PO001978,ACTIVE,AAM37953,,ALIAS/RELATED ITEM
FEE-00047,AIR,AAM3,PO001978,ACTIVE,AAM37954,,ALIAS/RELATED ITEM
FEE-00047,AIR,AAW1,PO001978,ACTIVE,AAW17920,,ALIAS/RELATED ITEM
FEE-00047,AIR,AAW1,PO001978,ACTIVE,AAW17921,,ALIAS/RELATED ITEM
FEE-00047,AIR,AAW1,PO001978,ACTIVE,AAW17922,,ALIAS/RELATED ITEM
FEE-00047,AIR,AAW1,PO001978,ACTIVE,AAW17923,,ALIAS/RELATED ITEM
FEE-00047,AIR,AAW1,PO001978,ACTIVE,AAW17924,,ALIAS/RELATED ITEM
