Customer,CartonID,Customer_PO,Season,Shipped_Date,Style,Color,Size,SKUBarcode,Shipping_Method,shippingCountry,Qty
GREYSON,1005764,4909,,2025-07-25,YFA25K71A,591 - VINTAGE INDIGO,XL,195386632645,AIR,USA,23
GREYSON,1005764,4909,,2025-07-25,YFA25K71A,591 - VINTAGE INDIGO,XS,195386632607,AIR,USA,66
GREYSON,1005764,4928,,2025-07-25,MFA24K72LS,417 - MALTESE BLUE,2XL,195386432528,AIR,USA,89
GREYSON,1005764,4928,,2025-07-25,MFA24K72LS,417 - MALTESE BLUE,L,195386432542,AIR,USA,350
GREYSON,1005764,4928,,2025-07-25,MFA24K72LS,417 - MALTESE BLUE,M,195386432559,AIR,USA,292
GREYSON,1005764,4928,,2025-07-25,MFA24K72LS,417 - MALTESE BLUE,S,195386432566,AIR,USA,94
GREYSON,1005764,4928,,2025-07-25,MFA24K72LS,417 - MALTESE BLUE,XL,195386432535,AIR,USA,228
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,001 - SHEPHERD,2XL,195386625067,AIR,USA,84
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,001 - SHEPHERD,L,195386624879,AIR,USA,348
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,001 - SHEPHERD,M,195386624909,AIR,USA,282
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,001 - SHEPHERD,S,195386624930,AIR,USA,94
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,001 - SHEPHERD,XL,195386624848,AIR,USA,226
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,100 - ARCTIC,2XL,195386560665,AIR,USA,76
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,100 - ARCTIC,L,195386560641,AIR,USA,298
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,100 - ARCTIC,M,195386560634,AIR,USA,265
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,100 - ARCTIC,S,195386560627,AIR,USA,84
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,100 - ARCTIC,XL,195386560658,AIR,USA,207
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,476 - WOLF BLUE,2XL,195386624961,AIR,USA,85
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,476 - WOLF BLUE,L,195386625005,AIR,USA,367
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,476 - WOLF BLUE,M,195386625029,AIR,USA,272
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,476 - WOLF BLUE,S,195386625043,AIR,USA,93
GREYSON,1005764,4928,,2025-07-25,MFA25K72LS,476 - WOLF BLUE,XL,195386624985,AIR,USA,228
GREYSON,1005764,4936,,2025-07-25,MFA23B49,417 - MALTESE BLUE,2XL,195386314862,AIR,USA,4
GREYSON,1005764,4936,,2025-07-25,MFA23B49,417 - MALTESE BLUE,L,195386314848,AIR,USA,96
GREYSON,1005764,4936,,2025-07-25,MFA23B49,417 - MALTESE BLUE,M,195386314831,AIR,USA,81
GREYSON,1005764,4936,,2025-07-25,MFA23B49,417 - MALTESE BLUE,XL,195386314855,AIR,USA,52
GREYSON,1005764,5075,,2025-07-25,MFA25K65,898 - VARSITY RED,2XL,195386560467,AIR,USA,57
GREYSON,1005764,5075,,2025-07-25,MFA25K65,898 - VARSITY RED,L,195386560443,AIR,USA,205
GREYSON,1005764,5075,,2025-07-25,MFA25K65,898 - VARSITY RED,M,195386560436,AIR,USA,165
GREYSON,1005764,5075,,2025-07-25,MFA25K65,898 - VARSITY RED,S,195386560429,AIR,USA,57
GREYSON,1005764,5075,,2025-07-25,MFA25K65,898 - VARSITY RED,XL,195386560450,AIR,USA,142
GREYSON,1005764,5075,,2025-07-25,MFA25K72LS,898 - VARSITY RED,2XL,195386560719,AIR,USA,57
GREYSON,1005764,5075,,2025-07-25,MFA25K72LS,898 - VARSITY RED,L,195386560696,AIR,USA,196
GREYSON,1005764,5075,,2025-07-25,MFA25K72LS,898 - VARSITY RED,M,195386560689,AIR,USA,165
GREYSON,1005764,5075,,2025-07-25,MFA25K72LS,898 - VARSITY RED,S,195386560672,AIR,USA,58
GREYSON,1005764,5075,,2025-07-25,MFA25K72LS,898 - VARSITY RED,XL,195386560702,AIR,USA,140
GREYSON,1005764,5466,,2025-07-25,LSP25K70,001 - SHEPHERD,L,195386562973,AIR,USA,89
GREYSON,1005764,5466,,2025-07-25,LSP25K70,001 - SHEPHERD,M,195386562966,AIR,USA,164
GREYSON,1005764,5466,,2025-07-25,LSP25K70,001 - SHEPHERD,S,195386562959,AIR,USA,184
GREYSON,1005764,5466,,2025-07-25,LSP25K70,001 - SHEPHERD,XL,195386562843,AIR,USA,18
GREYSON,1005764,5466,,2025-07-25,LSP25K70,001 - SHEPHERD,XS,195386562942,AIR,USA,62
GREYSON,1005764,5466,,2025-07-25,LSP25K70,100 - ARCTIC,L,195386562874,AIR,USA,81
GREYSON,1005764,5466,,2025-07-25,LSP25K70,100 - ARCTIC,M,195386562867,AIR,USA,167
GREYSON,1005764,5466,,2025-07-25,LSP25K70,100 - ARCTIC,S,195386562850,AIR,USA,189
GREYSON,1005764,5466,,2025-07-25,LSP25K70,100 - ARCTIC,XL,195386562881,AIR,USA,8
GREYSON,1005764,5466,,2025-07-25,LSP25K70,100 - ARCTIC,XS,195386562690,AIR,USA,65
GREYSON,1005764,5466,,2025-07-25,LSP25K70,417 - MALTESE BLUE,L,195386562928,AIR,USA,90
GREYSON,1005764,5466,,2025-07-25,LSP25K70,417 - MALTESE BLUE,M,195386562911,AIR,USA,170
GREYSON,1005764,5466,,2025-07-25,LSP25K70,417 - MALTESE BLUE,S,195386562904,AIR,USA,195
GREYSON,1005764,5466,,2025-07-25,LSP25K70,417 - MALTESE BLUE,XL,195386562935,AIR,USA,12
GREYSON,1005764,5466,,2025-07-25,LSP25K70,417 - MALTESE BLUE,XS,195386562898,AIR,USA,63
