AAG ORDER NUMBER,PLANNED DELIVERY METHOD,CUSTOMER STYLE,PO NUMBER,CUSTOMER ALT PO,ORDER TYPE,ALIAS/RELATED ITEM,ORIGINAL ALIAS/RELATED ITEM,PATTERN ID,RESOLVED_BY
GRE-03193,AIR,LSP22O53,3717,,CANCELLED,,,,ORDER TYPE
GRE-03193,AIR,LSP22O53,3717,,ACTIVE,,,,ORDER TYPE
