AAG ORDER NUMBER,PLANNED DELIVERY METHOD,CUSTOMER STYLE,PO NUMBER,ORDER TYPE,ALIAS/RELATED ITEM,CUSTOMER ALT PO,RESOLVED_BY
AIM-00048,AIR,SS25CT028,8908,ACTIVE,,9753,CUSTOMER ALT PO
AIM-00048,AIR,SS25CT028,8908,ACTIVE,,9915,CUSTOMER ALT PO
AIM-00049,AIR,SS25CT028,8908,ACTIVE,,9753,CUSTOMER ALT PO
AIM-00049,AIR,SS25CT028,8908,ACTIVE,,9915,CUSTOMER ALT PO
AIM-00066,AIR,SS25CT028,8910,ACTIVE,,9755,CUSTOMER ALT PO
AIM-00066,AIR,SS25CT028,8910,ACTIVE,,9916,CUSTOMER ALT PO
AIM-00067,AIR,SS25CT028,8910,ACTIVE,,9755,CUSTOMER ALT PO
AIM-00067,AIR,SS25CT028,8910,ACTIVE,,9916,CUSTOMER ALT PO
